,price,address,postcode,ward
0,450,"London road, Mitcham CR4",CR4 3NY,Cricket Green
1,477,"ST. JOHN'S GROVE, London, N19",N19 5QR,Junction
2,450,"London road, Mitcham CR4",CR4 3NY,Cricket Green
3,425,"Sidmouth road, Orpington BR5",BR5 2EG,Cray Valley East
4,375,"London Road, Mitcham CR4",CR4 3NY,Cricket Green
5,450,"London road, Mitcham CR4",CR4 3NY,Cricket Green
6,450,"Sidmouth road, Orpington BR5",BR5 2EQ,Cray Valley West
7,450,"Broxbourne road, Orpington BR6",BR6 0BA,Petts Wood and Knoll
8,475,"Sidmouth road, Orpington BR5",BR5 2EG,Cray Valley East
9,450,"Chiselhurst road, Orpington BR6",BR6 0DN,Cray Valley East
10,475,"Love lane, Mitcham CR4",CR4 3AJ,Cricket Green
11,500,"London road, Mitcham CR4",CR4 3NY,Cricket Green
12,425,"Sidmouth road, Orpington BR5",BR5 2EQ,Cray Valley West
13,375,"Sidmouth road, Orpington BR5",BR5 2EQ,Cray Valley West
14,500,"Sidcup Road , Mottingham, London",SE9 4ET,Coldharbour and New Eltham
15,470,"Britannia Road, Ilford",IG1 2EQ,Loxford
16,500,"Bellegrove Road, Welling",DA16 3PU,Falconwood & Welling
17,400,"Charlotte Road, Dagenham",RM10 8TD,Village
18,400,"Charlotte Road, Dagenham",RM10 8TD,Village
19,399,"Hook Rise North, Surbiton, Surrey, KT6",KT6 5DE,Tolworth and Hook Rise
20,440,"FLAT SHARE: Southborough Lane, Bromley - NO TENANT FEES!",BR2 8AR,Bickley
21,500,"Luxor Street, Camberwell",SE5 9QN,Herne Hill
22,500,"Ernest Street, London, E1",E1 4RF,St Dunstan's
23,500,South Woodford,E18 2JZ,South Woodford
24,500,"Bellegrove Road, Welling",DA16 3PU,Falconwood & Welling
25,475,"Sidmouth road, Orpington BR5",BR5 2EG,Cray Valley East
26,500,"Bellegrove Road, Welling",DA16 3PU,Falconwood & Welling
27,500,"Westway, Raynes Park, London, SW20",SW20 9LT,West Barnes
28,498,"York House Place, Kensington",W8 4EY,Campden
29,500,"Southern Avenue, Feltham, TW14",TW14 9ND,Feltham West
30,310,"The Grove, London, W5",W5 5DX,Ealing Broadway
31,499,"Kings Road, Chelsea, SW10",SW10 0TP,Stanley
32,400,"Newmarsh Road, London, SE28",SE28 8TG,Thamesmead Moorings
33,450,"Hawkwell House, Gosfield Road, Dagenham, RM8",RM8 1DW,Heath
34,400,"The Concourse, London, NW9",NW9 5TX,Colindale
35,500,Lees Road,UB8 3AS,Brunel
36,360,"Alexandra Park Road, London",N22 7UN,Alexandra
