index,price,address,postcode,index,ward,district,distance,lat,long
157695,2145,"Buttermere Court, Boundary Road, St John's Wood, London NW8",NW8 6NS,157695,Abbey Road,Westminster,0.354887,51.539173,-0.174815
157695,2145,"Buttermere Court, Boundary Road, St John's Wood, London NW8",NW8 6NS,157695,Abbey Road,Westminster,0.354887,51.539173,-0.174815
47626,1350,"Consul House, London, E3",E3 4XT,47626,Bromley North,Tower Hamlets,0.384778,51.52359000000001,-0.023918
108717,1550,"Gainsborough Studio West, London, N1",N1 5EA,108717,Hoxton East & Shoreditch,Hackney,0.732279,51.535813,-0.089141
50121,1275,"Northwold Road, London, E5",E5 8RN,50121,Hackney Downs,Hackney,0.489733,51.562656,-0.06506100000000001
117717,1473,"Lampard Grove, London, N16",N16 6XA,117717,Cazenove,Hackney,0.28585,51.567494,-0.07091900000000001
129162,900,"Stroud Green Road, London, N4",N4 3EN,129162,Stroud Green,Haringey,0.496298,51.568362,-0.109842
129162,1250,"Stroud Green Road, Finsbury Park, N4 ",N4 3EN,129162,Stroud Green,Haringey,0.496298,51.568362,-0.109842
203315,1500,"Rolt Street, Deptford, SE8",SE8 5NL,203315,Evelyn,Lewisham,0.807325,51.483774,-0.034843
203315,2384,"Rolt Street, Deptford, SE8",SE8 5NL,203315,Evelyn,Lewisham,0.807325,51.483774,-0.034843
137736,1200,"Harewood Avenue, London, NW1",NW1 6NU,137736,Bryanston and Dorset Square,Westminster,0.17393499999999998,51.523925,-0.164036
137409,1000,"Marylebone Road, London, NW1",NW1 5NP,137409,Church Street,Westminster,0.16616,51.521196,-0.164925
300474,1025,"Queensway, London, W2",W2 4QW,300474,Lancaster Gate,Westminster,0.0799633,51.511162,-0.187579
300474,1025,"Queensway, London, W2",W2 4QW,300474,Lancaster Gate,Westminster,0.0799633,51.511162,-0.187579
137391,1100,"Allsop Place, London, NW1",NW1 5LQ,137391,Regent's Park,Westminster,0.0678857,51.522962,-0.15596
137391,1200,"Allsop Place, London, NW1",NW1 5LQ,137391,Regent's Park,Westminster,0.0678857,51.522962,-0.15596
230103,1820,"Claverton Street, Pimlico, London, SW1V",SW1V 3AU,230103,Tachbrook,Westminster,0.43965,51.486755,-0.137601
274244,2058,"Lancaster Road, London, W11",W11 1QU,274244,Notting Dale,Kensington and Chelsea,0.113123,51.51661,-0.211519
274244,2145,"Lancaster Road, Notting Hill",W11 1QU,274244,Notting Dale,Kensington and Chelsea,0.113123,51.51661,-0.211519
278877,1300,"Elsham Road, London, W14",W14 8HB,278877,Holland,Kensington and Chelsea,0.460329,51.501891,-0.213392
137648,1175,"Palgrave Gardens, London, NW1",NW1 6EW,137648,Regent's Park,Westminster,0.494903,51.526756,-0.165134
137461,1250,"Baker Street, London, NW1",NW1 5RS,137461,Regent's Park,Westminster,0.113708,51.523902,-0.15798299999999998
137461,1250,"Baker Street, London, NW1",NW1 5RS,137461,Regent's Park,Westminster,0.113708,51.523902,-0.15798299999999998
38597,1390,"Sapphire Court, London, E15",E15 2GF,38597,Stratford and New Town,Newham,0.416274,51.536045,-0.007416
107200,1495,"King's Cross, London, N1",N1 0TE,107200,Caledonian,Islington,0.59128,51.535631,-0.119068
108576,1600,"Mildmay Grove South, London",N1 4RL,108576,Mildmay,Islington,0.441469,51.548546,-0.085809
118519,1755,"Springdale Road, Stoke Newington, N16",N16 9NX,118519,Clissold,Hackney,0.806127,51.55533300000001,-0.08735599999999999
121785,2145,"Hill House, Highgate Hill, Archway, London N19",N19 5FG,121785,Junction,Islington,0.0499602,51.565132,-0.13555799999999998
121785,2145,"Hill House, Highgate Hill, Archway, London N19",N19 5FG,121785,Junction,Islington,0.0499602,51.565132,-0.13555799999999998
121785,2004,"Hill House, Highgate Hill, Archway, London N19",N19 5FG,121785,Junction,Islington,0.0499602,51.565132,-0.13555799999999998
54285,1950,"Gransden Avenue, Hackney E8 ",E8 3QA,54285,London Fields,Hackney,0.0582501,51.541211,-0.056916
54285,1950,"Gransden Avenue, Hackney E8 ",E8 3QA,54285,London Fields,Hackney,0.0582501,51.541211,-0.056916
212679,1235,"Caxton Court, Battersea",SW11 3ER,212679,St Mary's Park,Wandsworth,0.8741770000000001,51.472188,-0.168955
244498,1625,"Broughton Street, Battersea",SW8 3QJ,244498,Queenstown,Wandsworth,0.392488,51.471854,-0.150058
134022,2275,"Drylands Road, Crouch End, N8",N8 9HN,134022,Crouch End,Haringey,0.89169,51.579321,-0.118261
179076,1250,"Baquba Building, London, SE13",SE13 7FG,179076,Lewisham Central,Lewisham,0.16502,51.467636,-0.014746
233803,1200,"Palace Road, Tulse Hill, London, SW2",SW2 3JX,233803,Streatham Hill,Lambeth,0.52628,51.438947,-0.112597
109796,2145,"St Peters Street, London, N1",N1 8JT,109796,St Peter's,Islington,0.5140560000000001,51.534246,-0.098434
59224,1733,"Rawstorne Street, Finsbury, EC1V",EC1V 7NB,59224,Clerkenwell,Islington,0.466251,51.529011,-0.103338
238594,1250,"Patio Close, Clarence Avenue, London, SW4 8JE",SW4 8JE,238594,Clapham Common,Lambeth,0.948793,51.45344,-0.13433699999999998
295213,2578,"Nottingham Place, London, W1U",W1U 5LU,295213,Marylebone High Street,Westminster,0.25409,51.522322,-0.15346600000000002
295213,2578,"Cedar House, 39 - 41 Nottingham Place, London, W1U",W1U 5LU,295213,Marylebone High Street,Westminster,0.25409,51.522322,-0.15346600000000002
29235,1550,"Killick Way, Stepney Green, E1",E1 3FE,29235,St Dunstan's,Tower Hamlets,0.4532600000000001,51.520287,-0.04143
29235,1625,"Killick Way, London, E1",E1 3FE,29235,St Dunstan's,Tower Hamlets,0.4532600000000001,51.520287,-0.04143
29235,1517,"Sculpture House, 4 Killick Way, Stepney Green, London, E1",E1 3FE,29235,St Dunstan's,Tower Hamlets,0.4532600000000001,51.520287,-0.04143
30914,2687,"Perilla House, Goodman's Fields, Aldgate E1",E1 8ZF,30914,Whitechapel,Tower Hamlets,0.35972800000000005,51.513471,-0.068489
30914,2817,"Goodman's Fields, E1",E1 8ZF,30914,Whitechapel,Tower Hamlets,0.35972800000000005,51.513471,-0.068489
65736,2167,"Chancery House, Bream's Buildings, Holborn EC4A",EC4A 1DY,65736,Farringdon Without,City of London,0.264421,51.516138,-0.111425
108044,1842,"Islington Green, Angel, London",N1 2XA,108044,St Mary's,Islington,0.441285,51.536614,-0.103051
