ward,price
Alexandra,360.0
Bickley,440.0
Brunel,500.0
Burnt Oak,500.0
Campden,498.0
Coldharbour and New Eltham,500.0
Colindale,400.0
Cray Valley East,450.0
Cray Valley West,400.0
Cricket Green,433.3333333333333
Dulwich Wood,500.0
Ealing Broadway,310.0
Falconwood & Welling,500.0
Feltham West,500.0
Grove Park,499.0
Heath,450.0
Herne Hill,500.0
Junction,477.0
Petts Wood and Knoll,400.0
South Woodford,500.0
St Ann's,433.0
St Dunstan's,500.0
Stanley,499.0
Thamesmead Moorings,400.0
Village,400.0
West Barnes,500.0
